iter	Passed	Remaining
708	39361	16155
709	39418	16100
710	39471	16044
711	39528	15989
712	39582	15933
713	39638	15877
714	39692	15821
715	39755	15768
716	39801	15709
717	39860	15655
718	39917	15600
719	39969	15543
720	40022	15487
721	40074	15430
722	40129	15374
723	40181	15317
724	40233	15261
725	40285	15204
726	40333	15145
727	40385	15089
728	40439	15032
729	40490	14975
730	40543	14919
731	40594	14862
732	40648	14806
733	40702	14750
734	40751	14692
735	40805	14636
736	40862	14581
737	40909	14523
738	40963	14467
739	41016	14411
740	41072	14355
741	41127	14300
742	41180	14244
743	41235	14188
744	41287	14132
745	41341	14075
746	41396	14020
747	41454	13965
748	41506	13909
749	41562	13854
750	41614	13797
751	41669	13742
752	41731	13688
753	41786	13633
754	41845	13578
755	41899	13523
756	41951	13466
757	42004	13410
758	42059	13354
759	42112	13298
760	42168	13243
761	42222	13187
762	42278	13132
763	42335	13077
764	42391	13022
765	42443	12965
766	42499	12910
767	42553	12854
768	42606	12798
769	42661	12742
770	42712	12686
771	42765	12630
772	42818	12574
773	42871	12518
774	42921	12461
775	42985	12408
776	43038	12352
777	43089	12295
778	43141	12239
779	43192	12182
780	43248	12127
781	43299	12070
782	43356	12015
783	43408	11959
784	43463	11904
785	43515	11847
786	43569	11792
787	43622	11736
788	43663	11676
789	43715	11620
790	43776	11566
791	43826	11510
792	43875	11453
793	43928	11397
794	43978	11340
795	44032	11284
796	44087	11229
797	44145	11174
798	44198	11118
799	44248	11062
800	44306	11007
801	44356	10950
802	44410	10895
803	44461	10838
804	44511	10782
805	44562	10725
806	44616	10670
807	44671	10614
808	44723	10558
809	44780	10504
810	44832	10447
811	44874	10389
812	44925	10333
813	44975	10276
814	45028	10221
815	45078	10164
816	45131	10109
817	45181	10052
818	45230	9995
819	45281	9939
820	45333	9883
821	45384	9827
822	45432	9771
823	45480	9714
824	45534	9658
825	45584	9602
826	45631	9545
827	45687	9490
828	45740	9435
829	45799	9380
830	45850	9324
831	45901	9268
832	45957	9213
833	46007	9157
834	46061	9101
835	46115	9046
836	46167	8990
837	46222	8935
838	46278	8880
839	46332	8825
840	46386	8769
841	46440	8714
842	46497	8659
843	46564	8606
844	46636	8554
845	46701	8501
846	46770	8448
847	46828	8393
848	46896	8340
849	46960	8287
850	47027	8234
851	47091	8180
852	47154	8126
853	47221	8073
854	47288	8019
855	47345	7964
856	47400	7909
857	47457	7854
858	47510	7798
859	47561	7742
860	47612	7686
861	47664	7630
862	47718	7575
863	47770	7519
864	47819	7463
865	47871	7407
866	47924	7351
867	47969	7294
868	48029	7240
869	48081	7184
870	48142	7130
871	48199	7075
872	48265	7021
873	48324	6966
874	48389	6912
875	48447	6857
876	48508	6803
877	48568	6748
878	48626	6693
879	48687	6639
880	48745	6584
881	48802	6529
882	48862	6474
883	48915	6418
884	48971	6363
885	49027	6308
886	49084	6253
887	49137	6197
888	49197	6142
889	49253	6087
890	49307	6032
891	49360	5976
892	49414	5920
893	49468	5865
894	49525	5810
895	49580	5754
896	49633	5699
897	49689	5644
898	49745	5588
899	49800	5533
900	49857	5478
901	49913	5422
902	49959	5366
903	50013	5311
904	50067	5255
905	50123	5200
906	50176	5144
907	50222	5088
908	50277	5033
909	50322	4976
910	50372	4921
911	50425	4865
912	50492	4811
913	50577	4758
914	50634	4703
915	50696	4649
916	50752	4593
917	50816	4539
918	50875	4484
919	50935	4429
920	50998	4374
921	51055	4319
922	51134	4265
923	51194	4210
924	51258	4156
925	51317	4100
926	51396	4047
927	51455	3992
928	51512	3936
929	51595	3883
930	51654	3828
931	51715	3773
932	51776	3718
933	51837	3663
934	51900	3608
935	51972	3553
936	52037	3498
937	52097	3443
938	52157	3388
939	52217	3333
940	52276	3277
941	52330	3222
942	52394	3167
943	52468	3112
944	52525	3057
945	52574	3001
946	52650	2946
947	52735	2892
948	52784	2836
949	52880	2783
950	52943	2727
951	52997	2672
952	53082	2617
953	53146	2562
954	53198	2506
955	53283	2452
956	53338	2396
957	53392	2340
958	53472	2286
959	53531	2230
960	53590	2174
961	53652	2119
962	53711	2063
963	53767	2007
964	53849	1953
965	53907	1897
966	53961	1841
967	54009	1785
968	54063	1729
969	54112	1673
970	54170	1617
971	54220	1561
972	54272	1506
973	54328	1450
974	54378	1394
975	54429	1338
976	54479	1282
977	54533	1226
978	54585	1170
979	54640	1115
980	54696	1059
981	54750	1003
982	54804	947
983	54863	892
984	54916	836
985	54962	780
986	55014	724
987	55073	668
988	55127	613
989	55186	557
990	55239	501
991	55292	445
992	55347	390
993	55406	334
994	55460	278
995	55515	222
996	55570	167
997	55623	111
998	55673	55
999	55727	0
